   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   5.388e+09   2e-02  0.00  1.0e-01  7.5e+02  1.0e+00  1.0e+00  2.9e-01  0.0e+00  0.0e+00
   1  T 0   2.680e+09  -3e-05  0.00  1.0e-01  1.3e-02  1.0e-01  8.5e+00  2.3e-01  5.1e-03  2.4e-01
   2  T 0   1.318e+09  -3e-02  0.22  1.0e-01  4.9e-03  1.0e-01  7.6e+00  1.8e-01  1.4e-03  1.8e-01
   3  T 0   1.041e+09  -9e-02  0.22  1.0e-01  1.2e-02  1.0e-01  7.2e+00  2.0e-01  1.1e-03  2.0e-01
   4  T 0   6.289e+08  -1e-01  0.35  1.0e-01  1.7e-03  1.0e-01  6.9e+00  1.9e-01  1.1e-03  1.9e-01
   5  T 0   4.777e+08  -1e-01  0.39  1.0e-01  2.2e-03  1.0e-01  6.3e+00  2.0e-01  1.1e-03  2.0e-01
   6  T 0   3.473e+08  -1e-01  0.45  1.0e-01  9.1e-04  1.0e-01  6.2e+00  1.9e-01  1.1e-03  1.9e-01
   7  T 0   2.743e+08  -2e-01  0.51  1.0e-01  6.2e-04  1.0e-01  5.8e+00  2.0e-01  1.0e-03  2.0e-01
   8  T 0   2.281e+08  -2e-01  0.76  1.0e-01  1.4e-03  1.0e-01  5.6e+00  1.9e-01  1.0e-03  1.9e-01
   9  T 0   2.207e+08  -2e-01  0.76  1.0e-01  2.3e-02  1.0e-01  4.1e+00  1.9e-01  1.1e-03  1.9e-01
  10  T 0   2.029e+08  -1e-01  0.82  1.0e-01  2.7e-03  1.0e-01  4.0e+00  1.8e-01  1.1e-03  1.8e-01
  11  T 0   1.950e+08  -8e-02  0.82  1.0e-01  3.4e-04  1.0e-01  3.6e+00  2.2e-01  1.1e-03  2.2e-01
  12  T 0   1.891e+08  -5e-02  0.85  1.0e-01  6.4e-04  1.0e-01  3.5e+00  2.0e-01  9.1e-04  2.0e-01
  13  T 0   1.873e+08  -1e-02  0.85  1.0e-01  1.0e-04  1.0e-01  3.4e+00  2.2e-01  1.1e-03  2.2e-01
  14  T 0   1.861e+08  -8e-03  0.87  1.0e-01  1.7e-04  1.0e-01  3.4e+00  2.3e-01  9.1e-04  2.3e-01
  15  F 0   1.861e+08  -8e-03  0.87  7.0e-02  1.7e-04  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.7e-01
  15  T 1   1.826e+08  -2e-05  0.84  8.4e-02  1.3e-04  7.0e-02  2.3e+00  2.8e-01  2.0e-03  2.9e-01
  16  T 0   1.815e+08   1e-05  0.89  1.0e-01  1.3e-04  8.4e-02  2.6e+00  2.3e-01  1.9e-03  2.4e-01
  17  F 0   1.815e+08   1e-05  0.89  7.0e-02  1.3e-04  0.0e+00  0.0e+00  3.0e-01  1.9e-03  3.0e-01
  17  T 1   1.796e+08   4e-06  0.87  8.4e-02  9.3e-05  7.0e-02  2.2e+00  2.7e-01  2.1e-03  2.8e-01
  18  T 0   1.791e+08  -6e-06  0.90  1.0e-01  1.2e-04  8.4e-02  2.4e+00  2.4e-01  1.9e-03  2.4e-01
  19  F 0   1.791e+08  -6e-06  0.90  7.0e-02  1.2e-04  0.0e+00  0.0e+00  2.7e-01  1.8e-03  2.7e-01
  19  T 1   1.781e+08   4e-06  0.88  8.4e-02  9.9e-05  7.0e-02  2.1e+00  2.6e-01  1.7e-03  2.6e-01
  20  F 0   1.781e+08   4e-06  0.88  5.9e-02  9.9e-05  0.0e+00  0.0e+00  2.1e-01  2.1e-03  2.2e-01
